MasterID,Mag,Magerr,RA,Dec,MJD,Blend
1001018044133,15.48,0.06,50.47737,-0.66040,53710.24486,0
1001018044133,15.49,0.06,50.47736,-0.66042,53710.25289,0
1001018044133,15.47,0.06,50.47737,-0.66042,53710.26093,0
1001018044133,15.49,0.06,50.47736,-0.66043,53710.26896,0
1001018044133,15.45,0.06,50.47736,-0.66042,53729.22340,0
1001018044133,15.46,0.06,50.47735,-0.66041,53729.23137,0
1001018044133,15.46,0.06,50.47738,-0.66042,53729.23935,0
1001018044133,15.47,0.06,50.47736,-0.66041,53729.24736,0
1001018044133,15.87,0.06,50.47739,-0.66044,53675.31365,0
1001018044133,15.77,0.06,50.47736,-0.66041,53675.32235,0
1001018044133,15.73,0.06,50.47735,-0.66041,53675.33107,0
1001018044133,15.66,0.06,50.47734,-0.66039,53675.33981,0
1001018044133,15.45,0.06,50.47732,-0.66039,53703.20055,0
1001018044133,15.44,0.06,50.47737,-0.66040,53703.20695,0
1001018044133,15.44,0.06,50.47732,-0.66043,53703.21340,0
1001018044133,15.44,0.06,50.47734,-0.66042,53703.21985,0
1001018044133,15.48,0.06,50.47733,-0.66041,53650.37944,0
1001018044133,15.49,0.06,50.47735,-0.66041,53650.38648,0
1001018044133,15.48,0.06,50.47735,-0.66042,53650.39372,0
1001018044133,15.50,0.06,50.47735,-0.66039,53650.40075,0
1001018044133,15.46,0.06,50.47735,-0.66039,53670.34560,0
1001018044133,15.46,0.06,50.47735,-0.66042,53670.35044,0
1001018044133,15.45,0.06,50.47736,-0.66041,53670.35535,0
1001018044133,15.44,0.06,50.47736,-0.66040,53670.36033,0
1001018044133,15.58,0.06,50.47733,-0.66045,53627.42890,0
1001018044133,15.54,0.06,50.47734,-0.66045,53627.43676,0
1001018044133,15.56,0.06,50.47731,-0.66036,53627.44466,0
1001018044133,15.57,0.06,50.47734,-0.66041,53627.45251,0
1001018044133,15.48,0.06,50.47734,-0.66039,54090.22287,0
1001018044133,15.47,0.06,50.47740,-0.66045,54090.22821,0
1001018044133,15.46,0.06,50.47737,-0.66043,54090.23357,0
1001018044133,15.48,0.06,50.47737,-0.66041,54090.23894,0
1001018044133,15.46,0.06,50.47734,-0.66041,53740.20234,0
1001018044133,15.43,0.06,50.47739,-0.66044,53740.21037,0
1001018044133,15.50,0.06,50.47736,-0.66042,53740.21842,0
1001018044133,15.48,0.06,50.47735,-0.66043,53740.22645,0
1001018044133,15.47,0.06,50.47736,-0.66039,53763.12723,0
1001018044133,15.44,0.06,50.47736,-0.66042,53763.13530,0
1001018044133,15.48,0.06,50.47737,-0.66040,53763.14336,0
1001018044133,15.46,0.06,50.47737,-0.66041,53763.15139,0
1001018044133,15.46,0.06,50.47737,-0.66042,54055.29128,0
1001018044133,15.46,0.06,50.47737,-0.66041,54055.30256,0
1001018044133,15.45,0.06,50.47738,-0.66042,54055.31385,0
1001018044133,15.45,0.06,50.47737,-0.66042,54055.32517,0
1001018044133,15.49,0.06,50.47735,-0.66040,54025.32321,0
1001018044133,15.46,0.06,50.47735,-0.66042,54025.33124,0
1001018044133,15.47,0.06,50.47731,-0.66039,53996.36966,0
1001018044133,15.48,0.06,50.47731,-0.66042,53996.37717,0
1001018044133,15.48,0.06,50.47733,-0.66039,53996.38474,0
1001018044133,15.50,0.06,50.47736,-0.66041,53996.39226,0
1001018044133,15.45,0.06,50.47736,-0.66040,54004.44943,0
1001018044133,15.44,0.06,50.47738,-0.66043,54004.45587,0
1001018044133,15.43,0.06,50.47737,-0.66043,54004.46230,0
1001018044133,15.45,0.06,50.47739,-0.66040,54004.46873,0
1001018044133,15.91,0.07,50.47735,-0.66044,54440.18579,0
1001018044133,15.86,0.06,50.47737,-0.66039,54440.19284,0
1001018044133,15.79,0.06,50.47737,-0.66044,54440.19993,0
1001018044133,15.72,0.06,50.47737,-0.66039,54440.20699,0
1001018044133,15.68,0.06,50.47735,-0.66041,54411.24186,0
1001018044133,15.65,0.06,50.47735,-0.66038,54411.25146,0
1001018044133,15.55,0.06,50.47735,-0.66043,54411.26108,0
1001018044133,15.54,0.06,50.47737,-0.66042,54411.27071,0
1001018044133,15.44,0.06,50.47733,-0.66044,54419.23419,0
1001018044133,15.45,0.06,50.47734,-0.66042,54419.24087,0
1001018044133,15.43,0.06,50.47733,-0.66041,54419.24735,0
1001018044133,15.42,0.06,50.47736,-0.66040,54419.25389,0
1001018044133,15.47,0.06,50.47735,-0.66041,54383.34156,0
1001018044133,15.47,0.06,50.47734,-0.66041,54383.35308,0
1001018044133,15.44,0.06,50.47737,-0.66045,54383.36465,0
1001018044133,15.47,0.06,50.47732,-0.66039,54383.37621,0
1001018044133,15.52,0.06,50.47736,-0.66037,54392.34418,0
1001018044133,15.55,0.06,50.47739,-0.66039,54392.35231,0
1001018044133,15.51,0.06,50.47736,-0.66041,54392.36048,0
1001018044133,15.52,0.06,50.47736,-0.66040,54392.36860,0
