# Time(s)  Normalized_Flux
0.000000 1.011909
10.000000 1.009146
20.000000 0.995386
30.000000 1.000998
40.000000 0.997506
50.000000 1.009363
60.000000 1.015098
70.000000 1.018464
80.000000 1.018218
90.000000 1.024628
100.000000 1.024719
110.000000 1.030654
120.000000 1.051480
130.000000 1.037517
140.000000 1.034808
150.000000 1.045638
160.000000 1.032301
170.000000 1.049225
180.000000 1.029141
190.000000 1.016212
200.000000 1.028026
210.000000 1.010339
220.000000 1.002556
230.000000 1.008459
240.000000 1.020693
250.000000 1.030407
260.000000 1.014377
270.000000 1.032766
280.000000 1.019318
290.000000 1.034117
300.000000 1.031695
310.000000 1.040457
320.000000 1.020900
330.000000 1.036967
340.000000 1.019891
350.000000 1.022045
360.000000 1.023631
370.000000 1.004813
380.000000 1.015319
390.000000 1.020459
400.000000 1.002657
410.000000 0.999196
420.000000 0.985323
430.000000 0.987189
440.000000 0.976641
450.000000 0.986544
460.000000 0.965027
470.000000 0.957081
480.000000 0.981070
490.000000 0.963948
500.000000 0.975098
510.000000 0.952168
520.000000 0.959600
530.000000 0.969327
540.000000 0.968039
550.000000 0.955277
560.000000 0.957345
570.000000 0.936478
580.000000 0.960504
590.000000 0.949331
600.000000 0.948663
610.000000 0.954567
620.000000 0.963898
630.000000 0.963116
640.000000 0.956281
650.000000 0.957618
660.000000 0.974309
670.000000 0.968566
680.000000 0.969603
690.000000 0.984684
700.000000 0.982450
710.000000 0.976510
720.000000 0.998422
730.000000 1.011178
740.000000 1.033253
750.000000 1.060990
850.000000 1.097947
870.000000 1.072630
880.000000 1.045725
890.000000 1.054184
900.000000 1.034909
910.000000 1.017059
920.000000 1.009009
930.000000 1.004502
940.000000 1.001641
950.000000 0.990945
960.000000 0.991534
970.000000 0.988682
980.000000 0.981049
990.000000 0.984156
1000.000000 0.977780
1010.000000 0.990223
1020.000000 0.966927
1030.000000 0.980360
1040.000000 0.973128
1050.000000 0.976949
1060.000000 0.972617
1070.000000 0.971025
1080.000000 0.976801
1090.000000 0.972304
1100.000000 0.961311
1110.000000 0.970606
1120.000000 0.967870
1130.000000 0.959373
1140.000000 0.975670
1150.000000 0.964429
1160.000000 0.981312
1170.000000 0.981408
1180.000000 0.979838
1190.000000 0.968900
1200.000000 0.973088
1210.000000 0.972237
1220.000000 0.980083
1230.000000 0.989027
1240.000000 0.980494
1250.000000 0.986324
1260.000000 0.979852
1270.000000 0.979373
1280.000000 0.982517
1290.000000 0.980460
1300.000000 0.991551
1310.000000 0.990061
1320.000000 0.994553
1330.000000 1.001223
